Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,149,7,Some Random Comment with Id 0
1,0,7,173,2,Some Random Comment with Id 1
2,0,7,57,8,Some Random Comment with Id 2
3,0,7,55,1,Some Random Comment with Id 3
4,0,7,180,8,Some Random Comment with Id 4
5,0,7,17,8,Some Random Comment with Id 5
6,0,7,31,5,Some Random Comment with Id 6
7,0,7,167,5,Some Random Comment with Id 7
8,1,4,110,8,Some Random Comment with Id 8
9,1,4,78,1,Some Random Comment with Id 9
10,1,4,50,9,Some Random Comment with Id 10
11,1,4,96,6,Some Random Comment with Id 11
12,2,6,64,3,Some Random Comment with Id 12
13,2,6,14,8,Some Random Comment with Id 13
14,3,8,100,1,Some Random Comment with Id 14
15,3,8,10,3,Some Random Comment with Id 15
16,3,8,126,1,Some Random Comment with Id 16
17,3,8,142,1,Some Random Comment with Id 17
18,4,2,42,8,Some Random Comment with Id 18
19,4,2,188,2,Some Random Comment with Id 19
20,4,2,111,2,Some Random Comment with Id 20
21,5,4,114,6,Some Random Comment with Id 21
22,5,4,37,7,Some Random Comment with Id 22
23,5,4,5,7,Some Random Comment with Id 23
24,5,4,20,7,Some Random Comment with Id 24
25,5,4,92,2,Some Random Comment with Id 25
26,5,4,122,1,Some Random Comment with Id 26
27,6,0,27,4,Some Random Comment with Id 27
28,6,0,21,6,Some Random Comment with Id 28
29,6,0,147,2,Some Random Comment with Id 29
30,6,0,116,2,Some Random Comment with Id 30
31,6,0,20,9,Some Random Comment with Id 31
32,8,7,18,1,Some Random Comment with Id 32
33,8,7,136,4,Some Random Comment with Id 33
34,8,7,57,9,Some Random Comment with Id 34
35,8,7,25,5,Some Random Comment with Id 35
36,8,7,16,6,Some Random Comment with Id 36
37,8,7,50,7,Some Random Comment with Id 37
38,9,2,34,9,Some Random Comment with Id 38
39,9,2,189,8,Some Random Comment with Id 39
40,9,2,157,3,Some Random Comment with Id 40
41,10,2,130,2,Some Random Comment with Id 41
42,10,2,90,3,Some Random Comment with Id 42
43,10,2,112,3,Some Random Comment with Id 43
44,10,2,96,0,Some Random Comment with Id 44
45,10,2,186,3,Some Random Comment with Id 45
46,10,2,123,2,Some Random Comment with Id 46
47,10,2,164,7,Some Random Comment with Id 47
48,11,4,128,9,Some Random Comment with Id 48
49,11,4,166,5,Some Random Comment with Id 49
50,11,4,170,0,Some Random Comment with Id 50
51,12,9,20,4,Some Random Comment with Id 51
52,12,9,91,3,Some Random Comment with Id 52
53,12,9,110,8,Some Random Comment with Id 53
54,12,9,16,7,Some Random Comment with Id 54
55,12,9,174,7,Some Random Comment with Id 55
56,13,4,9,4,Some Random Comment with Id 56
57,13,4,19,9,Some Random Comment with Id 57
58,13,4,75,3,Some Random Comment with Id 58
59,13,4,164,4,Some Random Comment with Id 59
60,13,4,80,7,Some Random Comment with Id 60
61,13,4,67,0,Some Random Comment with Id 61
62,13,4,7,2,Some Random Comment with Id 62
63,13,4,42,9,Some Random Comment with Id 63
64,13,4,8,5,Some Random Comment with Id 64
